sample_id,selection
bcb35848089ca50a1eef,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
69bed1df8dc3cf82927c,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
76b9db19f45b8222d962,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
a7f9a08159d001c30f67,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
f95928e2618ed15e654f,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
a75e421e756083edea35,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
a2eefb55da4d47a4347b,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
5ca73775e77c8e07812b,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
1e73138aa057a5e2b67f,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
b80a4f9e4b61f534ee9e,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
fde2d968ab29d13d4f1d,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
8837a8a19c37b63d2e48,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
a67016d937c499be9d64,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
c084940b1be4fa61738d,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
474238f822b0c38795c6,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
cd998cddd3dcb4fc8c92,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
832899abb44b8d2246cd,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
83a16763654b3b743265,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
bc582f1f4f4225f6d249,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
e4f37e6e6def0eec724a,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
b566ed83f272904657ba,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
b6bb9be5584029502820,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
ee60c3ffc43a4c2c965e,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
6ee3c70647b37dcd5417,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2909efb29670d8f2286d,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
b089551184e4d70e386d,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
38f57a9d08efd5f070d0,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
92e4f80b3943134ebe86,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
c438c37de3a60de0e84a,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
bd0519702a5756bc3c94,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
7d6bcd84e5a6861fc8fc,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2f828b7aa8c3e93352da,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2fcaa537474ba2ae579f,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
759d5133ee82740013bf,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
88771c5c64ed839a4436,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
6d6c0510303dec89b2fe,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
867407c66038f21466a8,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
793d8259fd7820530cfe,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
849796401ee485c617a5,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
3ef4b1ab56fe40940b42,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
f1ea027f4cb80b10d15b,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
5ce75d3f6df6d318cb8a,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
9ed80c28328fabe87261,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
118d66c0e53f510c51ed,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2cbca950d64fdcd81660,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
ddecd252bb1099fb20f7,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
31162ac7e21c9688cbdc,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
c2b0aff65443af0a8618,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
22d860e7f246ca4272a4,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2964279ae2fd8a820ae1,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
0e13b08b0f9c772699e1,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
26bb8ff67b7738527484,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
51394d9af7adc7eff816,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
543561ac99bc28db6f2f,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2195290d04210cdb253f,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2416be80d114ff60224d,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
