candidate,outer_seed,lambda,query_rank,sample_id
T3R,1101,0.1,2,47404d0982a587f0393e
T3R,1101,0.1,3,07e9bc7a9d27fdd58c2f
T3R,1101,0.1,4,9c7a6ce4172638d2abc7
T3R,1101,0.1,5,4e6d2ab0e823ac1d4b58
T3R,1101,0.1,6,3545611fd9950a160288
T3R,1101,0.1,7,f95928e2618ed15e654f
T3R,1101,0.1,8,bd0519702a5756bc3c94
T3R,1101,0.1,9,80e66bd0e8e9450537bb
T3R,1101,0.1,10,f5634113e0822bda1c03
T3R,1101,0.2,1,4e6d2ab0e823ac1d4b58
T3R,1101,0.2,2,3d5dc8831f4c74f7b7d1
T3R,1101,0.2,3,47404d0982a587f0393e
T3R,1101,0.2,4,9c7a6ce4172638d2abc7
T3R,1101,0.2,5,99dd4a9a47de5c84b7c0
T3R,1101,0.2,6,3545611fd9950a160288
T3R,1101,0.2,7,07e9bc7a9d27fdd58c2f
T3R,1101,0.2,8,80e66bd0e8e9450537bb
T3R,1101,0.2,9,b48dea92ecfc07816494
T3R,1101,0.2,10,9c357cc9e9b8199eb1e0
T3R,1101,0.3,1,25ffb25df5bec65a633b
T3R,1101,0.3,2,6da48b9dd6e1ed7e26fd
T3R,1101,0.3,3,9c357cc9e9b8199eb1e0
T3R,1101,0.3,4,a2eeeea4e6525c9d22d4
T3R,1101,0.3,5,99dd4a9a47de5c84b7c0
T3R,1101,0.3,6,5d04f6757b59f5c356bb
T3R,1101,0.3,7,4e6d2ab0e823ac1d4b58
T3R,1101,0.3,8,41921840a5681261ba98
T3R,1101,0.3,9,851993fe56d61c8bf074
T3R,1101,0.3,10,0ffc20c3f979502b8a09
old_T3_D43_failed,1101,,1,1254297404cc9db52ee2
old_T3_D43_failed,1101,,2,3545611fd9950a160288
old_T3_D43_failed,1101,,3,e79c5aedcfa41a5f23c9
old_T3_D43_failed,1101,,4,25ffb25df5bec65a633b
old_T3_D43_failed,1101,,5,7ba2cf5e6ca289d9810f
old_T3_D43_failed,1101,,6,74097878150c8a5a8d79
old_T3_D43_failed,1101,,7,b2b26956a788c2a8c7e9
old_T3_D43_failed,1101,,8,f95928e2618ed15e654f
old_T3_D43_failed,1101,,9,d67e364fd6830aa2bf6f
old_T3_D43_failed,1101,,10,bc8e1d805b36b63cbfbe
