column,protocol,outer_seed,planned_budget,actual_budget,sample_id,canonical_smiles,role,parent_role,full_data_definition,training_label_count,n_total_filtered,parent_budget
25g,compound,536279090,100,98,09e26fd89644d25719fd,Brc1ccccc1-c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0aa9085d5efc16a80f25,O=C(c1ccccc1)c1ccc(Cl)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0af769fe481b9f9076c1,COc1ccc(Br)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0b789e740d34d12a01cf,CCCC(=O)c1ccc(-c2ccccc2)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0bdbf0345265fba28be3,CCOC(=O)/C=C(/C)N,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0df9f40b3dfc5cbfd1f6,COc1ccc(CO)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0e73d0308a17acc30ef3,CCC(=O)c1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0ea0ed934aae8d025b1a,CC(C)C(=O)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,0fae3a2e89d43a631488,C/C(=N\O)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,12787d4ff0c5ef2869a4,CCOC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1281c48bc275aeddf6b8,CCC(O)c1ccccc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,12f89eb4c4daad037bb1,COC(=O)CC(=O)C1CC1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,13203b2b3c24bee2738a,CCOC(=O)C(C(=O)OCC)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1368379b749b32d1fdcd,O=C1CCCc2ccccc21,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,136e7fe0558cbe0b528e,COC(=O)CC(C)=O,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1386ed4ba3668d7f2149,CCCC(=O)c1ccc(-c2ccccc2)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1463d076a03f802af828,CCOC(=O)Cc1ccccc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,148063cfb761d9e77693,Ic1ccc(I)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,15a56a6e1c3c63fad6e1,FC(F)(F)Oc1ccc(I)c(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,17314dc24c8932aac22d,COc1ccc(Br)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,17cb105bac927adf6a69,CCC(=O)c1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,181a9bb7e52ca66e296f,CCC(=O)c1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,185cd08977c202e4dd26,CCCCCCCCCCCCc1cc(Br)sc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,18fa623a7f694a38c3f4,O=Cc1c(F)cccc1F,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1981ec7ebc0e1f69ab59,CCOC(=O)/C=C/c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,19d469b56d039f4b97d9,COC(=O)c1ccc(C(C)(C)C)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1add73f76baa1763596f,Cc1ccc(C=O)c(C)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1b6cb686edf51ee0f5ae,Brc1ccc2occc2c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1bcc67553db325699e45,COC(=O)c1ccc(C(C)(C)C)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1c750912dea6167ad9b7,Cc1ccccc1C#N,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1d2f2271547e39306a1e,CCOC(=O)C(Cc1ccccc1)C(C)=O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1f2955eb379fbd5f7acd,O=C(c1ccccc1)C1CCCCC1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,1f654540e74bbe1f7cf8,Cc1ccc(Cl)cc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,20d53be22d752b1ce3db,CCOC(=O)C(C)(C)Br,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,20d5c7e5a509a592e1b6,FC(F)(F)Oc1ccc(I)c(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,22209a39921025d05f27,Cc1ccc(C=O)c(C)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2386e45b1271db543447,CC(=O)c1ccccc1Br,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,24a97cd5f864bed6d3c3,Brc1ccccc1-c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,261c92e7f50799e6e63c,Clc1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,26b93c7f1eb64f9bb085,CCOC(=O)C(C)(C)Br,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,278603b410c95702cb79,CCOC(=O)c1ccc(OC)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,278a7a3266b04259e8be,CCCC(=O)c1ccc(-c2ccccc2)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,27a28db884b973d12cde,O=C1CCCc2ccccc21,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,27dc0ac27de2557f1dc0,CCCCC(=O)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,28c197a72ef54addca85,Cc1ccccc1C#N,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,292f5c63b98ed4d8b46c,CC1CCC(=O)c2ccccc21,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2990315c8a3935e82347,CCOC(=O)c1cccnc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,29a76f0fa9121d5b9367,BrCc1ccccc1CBr,validation,validation,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2abeeb46cc4cccb9bd95,COC(=O)CC(C)=O,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2b219d85feca84883925,O=C(Cc1ccccc1)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2b306fa21a4e75f4cc78,COCCCCC(=O)c1ccc(C(F)(F)F)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2b984bba3c30fcfbb2a4,Cc1ccc(C=O)c(C)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2bb0b424be9f80c38013,CCOC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2c304287e73957b3d37d,Clc1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2c60fd9f5b8e7a7cebe0,CCOC(=O)C(C)(C)Br,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2cdbd3c32b0ada3229ca,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2ce4b120bd454a5b9e9a,CC(=O)c1ccccc1C,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2dbf678be0fce63f9462,CC(C)c1ccccc1O,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2f6ba9a4bf41d66f13e5,CCOC(=O)/C=C/c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2f8ace395896891d16aa,CCC(=O)c1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,2fc6ef9093cc6928ecdb,CC(C)COC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,308c85f95609fbc8e81a,C/C(=N\O)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,322557fad8d88c9def2f,CCOC(=O)CC(=O)c1ccccc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,32422b9dfef9d069d315,COC(=O)c1ccc(Cl)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,330a1a2553a2cc8cdde3,O=C(CCCCl)c1ccc(F)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3311ca70c1d6cd5b1e09,CCCCCCCCCCCCc1cc(Br)sc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,331feab8b3738c071c7e,FC(F)(F)Oc1ccc(I)c(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,33322e348fc6683ba33c,O=Cc1ccc(-c2ccccc2)cc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,335a16c740c4c46056d8,COC(=O)c1ccccc1O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,34c0aa9f7d996a9cb911,O=C(Cc1ccccc1)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,35c84df95fd50b1b1546,Cc1ccccc1C=O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,364120422b287667e050,CC(=O)c1ccc(Br)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,368cc5cdec903f8d65bf,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3698bb883e7b5adc6503,CCOC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3759fd5e9bd720fa0586,CC(=O)c1ccc(Br)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,393d514aa5d319214e4a,Cc1ccc(Cl)cc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3b862f9a958f542037f0,COC(=O)c1ccc(C(C)(C)C)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3bd89ede44cb34972852,C=CC(=O)OCCOc1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3c8588c4a2d63a53f4f3,CC(=O)c1c(C)cc(C)cc1C,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3c94a271eb872a9ba1fc,BrCc1ccccc1CBr,validation,validation,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3dae39678226d5c021f3,CCOC(=O)CC(=O)c1ccccc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3e68b8ac12b44d90772f,O=C(Cc1ccccc1)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3ee550dab179475edf7c,CC(C)COC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3f45faf65f2ef106cbe1,O=Cc1ccc(Br)cc1O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,3f5658daadb03557f978,COC(=O)c1ccccc1O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,40237e4553a8e4aebf25,COc1ccc(Br)c(C)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,41877fc6a8b0ba41f35e,Brc1ccccc1-c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,419a270fac584e0233d6,O=Cc1ccc(-c2ccccc2)cc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,41df2f1f9ddad2bc67a7,COC(=O)Cc1ccc(Br)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4227d7870ed2de95a781,N#Cc1ccccc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,426a0d4d0d6972a92059,CC(C)c1ccccc1O,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,434ce0c029d26e7f46d9,CCOC(=O)Cc1ccccc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,43e4411ef429ef65e1af,CC(Br)C(=O)OC(C)(C)C,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,44f0c32cbb6848029ec5,O=C(CCCCl)c1ccc(F)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,46360fa3bfdc184e60c6,CCOC(=O)C(C)(C)Br,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4667a945eb6a72dabd73,O=C(Cc1ccccc1F)C1CC1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,466ae247e1f554e07bd7,COC(=O)c1ccccc1N,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4730e80cb3245321ca6e,O=Cc1ccc2ccccc2c1Br,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,47a37c196cfcc8a2adcd,CCOC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,47c08b4a6d6b5ba7ae19,CC(=O)CC(=O)OC(C)(C)C,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,486318b710e994632af9,O=C(Cc1ccccc1F)C1CC1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,48a7521c5c50706d090c,CC(=O)c1ccccc1C,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,49043a280b8e5800e987,CC(Br)C(=O)OC(C)(C)C,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,49a35ebd436d2cafaee3,CC(=O)c1c(C)cc(C)cc1C,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,49aef4ccf9723483372f,O=Cc1c(F)cccc1F,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,49e5a3b10b12af75157d,O=C(/C=C/c1ccccc1)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,49f557a2833c04ff812b,COC(=O)C#CC(=O)OC,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4a2f611598e15ac768d5,CCOC(=O)/C=C(/C)N,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4a815890fd69218c7348,COC(=O)c1ccccc1O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4b51ac2a4b9b4d579000,CCCCCCCCCCCCc1cc(Br)sc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4c1fc65932ff60731729,CCOC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4c91ef997b48e76d5592,CCOC(=O)c1ccc(OC)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4d402e98ee1405a29ee4,COc1ccc(OC)c(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4e0262f67007ef2c8d52,CC(C)c1ccccc1O,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4e56b6000bb346b5f126,Cc1ccccc1C#N,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4e646ecf53aa1f54aa4c,COC(=O)c1ccccc1O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4f3375726f4c47596901,O=C(/C=C/c1ccccc1)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4f45e3c652cf2e8ff904,O=Cc1cc(Cl)ccc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,4fd3083cc8a398dce337,COC(=O)c1ccccc1N,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,50fafc1be50cac26b89a,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,50fb3c6eb81de4a012f8,CCOC(=O)/C=C/c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5161cc0d8ef8c9f3508c,CC(=O)c1ccccc1Br,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,519e14bc43b7d89cc4fb,Brc1ccc2occc2c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,521980e9deddfcb2089e,C=CC(=O)OCCOc1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,521e34c3d9f569a595ff,Clc1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,52e7b6a93166db759d05,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,53084b28336566eb06f7,CCOC(=O)c1ccccc1N,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,53127d2db66fef2adf5d,COC(=O)c1ccccc1O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,54477d255c5c3bcf9f88,Cc1ccccc1C=O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5463b83c37b0bfbc789c,Brc1ccc(Br)c2ccccc12,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5476d38b95f7d1750219,N#Cc1ccccc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,554f6af68bde46382b43,CCOC(=O)CC(=O)c1ccccc1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,56868df74e648402db36,Cc1cccc(C=O)c1Br,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5731d186953d31c6223e,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5795fbf644193e3e9faa,Clc1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,57a2e2d65ddc2fd19333,Cc1ccc(Cl)cc1Br,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,580a7b82d6974cb67c36,CC(=O)c1c(C)cc(C)cc1C,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,584addcc1d3444ec6f12,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5a4aa1796d1a26dfe089,O=Cc1ccc2ccccc2c1Br,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5b425ca2d970c0f6b8c5,Clc1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5bb9c972dff9492adfe5,CCOC(=O)C(C)(C)Br,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5d3ce9525de8b7dafd63,CC(=O)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,5e45049689497ae544df,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6211defd8635697e4fbb,Cc1ccccc1C=O,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,63f63d1fa9bee9359474,CC1CCC(=O)c2ccccc21,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,64174d7a1f001186ef8f,Clc1cccc(Br)c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,645f40e3d4ee2de29718,COC(=O)c1ccccc1N,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6518882abdf6d0bf6529,CC(=O)CC(=O)OC(C)(C)C,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,65457bd44c1b5b7e10f1,Cc1cccc(C=O)c1Br,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,65a397d846c4f44aa77d,O=Cc1ccc2c(c1)CCO2,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,66d494e35467c8043ccb,O=C(c1ccccc1)C1CCCCC1,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,66d90c1d1af78bba89d5,Cc1ccccc1C#N,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,67afef1bb6672f76770c,Ic1ccc(I)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,67c36d1c198aa43502b1,CCOC(=O)c1ccccc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,68d3e9c2b1acf75c6630,COc1ccc(Br)cc1,test,test,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6956bd5a7d4928c77687,COC(=O)c1ccc(Cl)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,69c20ca75d3002578673,Brc1ccccc1-c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6b4899da3a32ec55cff0,Brc1ccc2occc2c1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6b4e403d992186b3798b,O=Cc1ccc2c(c1)CCO2,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6b7da3a072dc617f552d,CC(C)C(=O)c1ccccc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6c3982b4c64da2a42cff,CCOC(=O)c1ccc(OC)cc1,gradient_train,pool,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6c998b4ad99c3f47dfe4,BrCc1ccccc1CBr,validation,validation,all_retained_non_validation_non_test_rows,306,408,100
25g,compound,536279090,100,98,6d4a2e2deb2d0a83321c,Cc1cccc(C=O)c1Br,gradient_train,gradient_train,all_retained_non_validation_non_test_rows,306,408,100
