outer_seed,selection_order,canonical_index,sample_id
311,27,2602,7bbdec21c428010dd67b
311,28,2151,59b54ad3a60a52cc2b2c
311,29,3929,6b5982c6e1bbaadd6a95
311,30,1155,222a68fc192f66c1c080
311,31,3931,79cb1738d945317e5bfa
1297,0,2158,fbf7711e24f45bf06d4f
1297,1,3925,dc8da611e77ae1bb11f2
1297,2,388,0434c2f9b75e25782a13
1297,3,3273,8641d0ec9c4b21727b9a
1297,4,1948,073e6abf4d3bfffc2761
1297,5,2070,b514312eda7950cdcf1c
1297,6,2351,c1b9b6fc781ab8519301
1297,7,1150,1ae3618ec277b0463686
1297,8,1894,0a79a24271d119590ae6
1297,9,2160,b21061720e23b7a5bdcb
1297,10,1369,4fce6e1a422b4f54c601
1297,11,937,8cc5dd51f0360e578ac3
1297,12,240,d2921349ba8d9cef15a4
1297,13,3243,06ebbf6e52fa3ea6aef3
1297,14,4075,3f6b817d855e67b3b406
1297,15,2566,b7cf293311f83700cd9a
1297,16,528,f4a4fc4d6e4dea59b061
1297,17,2691,9e3f598e00375ec93d9b
1297,18,3576,20d4b1612cbdd88b6755
1297,19,2684,74ce463c8423fbd22dc4
1297,20,3986,cac9ff0c40665baf313f
1297,21,2664,61771d230b285babe4b6
1297,22,3149,4c2ad10692512e8f23b8
1297,23,3994,b1801204c2c4a34a9278
1297,24,4153,e6dcf9d6f65fa598a38e
1297,25,838,20913a7c2077b80b7351
1297,26,352,2aa2754666d0f055cb00
1297,27,2063,5442611ea6789d42bc86
1297,28,395,4df0734ab058c0eeed78
1297,29,1975,97318de99bab4460cf4e
1297,30,1863,c973d4c257be9ef08216
1297,31,2405,fd327bd31cbab5b296a7
4093,0,1894,0a79a24271d119590ae6
4093,1,2692,ca467c94f14b2219503e
4093,2,349,463c07f492870522d9b8
4093,3,2066,aa43fe84c0d8c825fe58
4093,4,994,9e6c69af6f5142faa049
4093,5,390,4756b7ebb0be7c63e552
4093,6,1499,70cba7a21b5a01fb8e73
4093,7,3642,d3ffe87bbab76e5d5d56
4093,8,4007,bfbe491a54086b98874d
4093,9,1935,38e6b8bf0f089fcadd80
4093,10,3273,8641d0ec9c4b21727b9a
4093,11,1813,5ba8cead5a790ba93029
4093,12,1207,04a2e8ad27ca641a3a12
4093,13,338,ab66de7edad40236ffd5
4093,14,3297,cace6f00c46aea69fe39
4093,15,2959,2df9d2f88ac69c5229e5
4093,16,4139,a36291cab664852df5e5
4093,17,3582,ffc70e28db22d1cc1f3f
4093,18,2658,3092a6310ab5c25cb83c
4093,19,1269,51f4126a3aadb3239225
4093,20,2153,1395836aef00d6a880b0
4093,21,1377,1b4be0410f927930d56e
4093,22,1865,7954bf73f74c7fbcecb2
4093,23,4073,683b6279a87805548c7c
4093,24,3389,dcd115d5903aa7c38191
4093,25,846,98586ac2d6d266ddb78c
4093,26,3673,c393010c592b487413e2
4093,27,1115,a3c1a0ac40733e8650fb
4093,28,4132,f46da3c00b2199795e4c
4093,29,2050,e009f41aa23d4c7b3fff
4093,30,2212,e26e37dd7637158bb41c
4093,31,1036,f25bc3a3b74471e14801
8191,0,1938,b6f1b33a5491968c645e
8191,1,995,776ee2c1e85ebde75168
8191,2,938,53c1be5b96937954b9fa
8191,3,1493,f6c49d6bc4b677f17278
8191,4,2909,4b0aa1fb2c1d00131718
8191,5,1894,0a79a24271d119590ae6
8191,6,1519,c476eca5614cf9aa12d8
8191,7,1300,bf09d868ed4d68a97b40
8191,8,2177,3774a4dac6dd0f01d48d
8191,9,3910,fcb9019ffbdb889489f7
8191,10,4162,b37608f8c4a8ee4b8696
8191,11,2972,2bd50654bad989d82c87
8191,12,1429,35a1d2abee0780ee1d48
8191,13,2152,a17bcdddcf0799baeee2
8191,14,1891,ca5c649ce727f8a36f41
8191,15,475,1f70add69a6dbecca3b4
8191,16,992,a775926fce57b3bf9ec1
8191,17,2385,87ada91b7803cfd9f767
8191,18,2069,4862e2fb71344ce16021
8191,19,4024,f4331eb64b6774466836
8191,20,1510,702ba575d6a3442b9a3b
8191,21,204,547923973b121019625f
8191,22,3287,0bd57808d920c8e6f5c4
8191,23,1861,2b10c90b32f970e4b4c8
8191,24,1951,9bc73e0c27d4d6b44abb
8191,25,2101,414e3cc35873dcefe96f
8191,26,3458,19f19f196ba5787a01b0
8191,27,2921,6b8fefaf0647d2239858
8191,28,2241,d11074f9c4f74061ba15
8191,29,1873,6214a18745efe9be3788
8191,30,3886,71b1366f422bdb427e46
8191,31,2035,8f683baab6101dc15006
